Biochemical oxygen demand (mg/l),Dissolved Oxygen mg/L,Temperature,pH,COD (chemical Oxygen Demand),Conductivity (uS/cm),Colour (TCU),Floride,Nitrate (mg/l),Potassium (mg/l),Total Organic Carban (mg/l),Chloride (mg/l),Total Suspended Solids,Turbidity (NTU),Potability
2.97,3.7,31,6.9,1.364171908,1314.79,14.93,0.605810008,31.02,23.01,9.347633986,124.61,5.36,0.68,potable
1.01,6.1,26.3,7.33,2.798014221,570.66,9.63,0.816203157,21.81,23.52,13.55375101,201.05,8.12,2.06,potable
3.52,6.7,26.3,7.84,1.996542102,836.67,4.45,0.634683299,30.17,2.81,11.87098148,210.94,11.48,3.74,potable
2.06,7.6,30,7.12,0.671380808,202.73,5.56,0.772145094,16.86,4.23,9.226618665,200.39,12.42,4.21,potable
1.35,1.9,25,7.89,1.572361091,1229.79,13.31,0.717483564,38.72,38.14,19.27005426,166.25,9.14,2.57,potable
3.89,7.4,26,7.52,2.196097497,1417.12,14.81,0.647337608,2.33,29.05,16.14573205,152.01,10.92,3.46,potable
3.35,6.4,32,7.35,1.877035865,1325.92,3.03,0.638000883,30.49,6.07,9.387781276,212.3,5.52,0.76,potable
0.31,5.4,32,6.73,0.957328138,74.93,10.08,0.606252405,11.12,33.9,15.83633021,68.31,11.06,3.53,potable
4.62,5.6,30,7.11,0.977718586,1296.85,2.63,0.628736751,3.52,27.92,10.66179894,139.93,10.9,3.45,potable
4.13,7.1,28,8.3,1.790350058,1098.33,12.43,0.617601185,20.63,35.91,14.86026268,168.74,7.68,1.84,potable
1.91,5.9,32,8.43,1.903396232,1065.32,5.68,0.621492074,12.2,26.91,13.64314709,141.12,4.16,0.08,potable
1.53,7.4,33,7.27,2.347870087,1138.28,0.63,0.604389808,1.27,6.23,10.2142746,40.36,12.44,4.22,potable
4.63,7.2,33,8.08,0.539123385,178.97,7.74,0.820725861,9.21,12.13,13.47852645,179.85,10.48,3.24,potable
3.25,6.5,36,7.6,1.616079136,836.1,5.65,0.643504367,41.74,19.43,18.14537425,54.22,4.16,0.08,potable
1.98,6.8,36,6.69,1.164868323,358.89,10.7,0.650741042,9.88,3.93,21.84591625,138.92,12.64,4.32,potable
0.03,6.8,29,8.01,1.742360385,1225.47,8.03,0.631181897,39.79,48.43,17.69511436,45.49,9.66,2.83,potable
4.24,6.6,34,7.31,0.725559691,727.97,6.96,0.780515161,23.14,37.25,13.17076321,187.96,10.56,3.28,potable
4.91,6.4,29,6.64,0.098992951,470.18,6.98,0.680669011,12.19,47.11,17.08424565,169.91,13.56,4.78,potable
3.92,7.3,19,8.29,1.391025075,1368.92,10.32,0.604632571,30.32,13.75,11.62301916,32.56,12.32,4.16,potable
2.52,6.8,28,7.32,1.636525479,504.77,13.61,0.608364973,36.79,36.51,7.935467758,71.34,13.36,4.68,potable
0.86,5.6,18,7.34,2.502011612,475.58,14.8,0.690202837,17.22,13.9,14.63688226,171.67,9.38,2.69,potable
3.74,6.9,33.5,7.59,1.773426224,762.27,9.36,0.632951691,44.04,49.05,17.20956506,148.57,5.18,0.59,potable
3.25,7.1,28,7.19,0.645250429,213.35,3.83,0.60241831,42.89,12.09,14.17176257,54.86,10.92,3.46,potable
3.2,6.2,30,8.34,2.181043796,497.21,0.48,0.602517741,2.76,35.72,6.063461913,29.9,9.54,2.77,potable
2.25,6.7,28,7.02,0.027129806,391.11,2.13,0.634008484,38.76,40.43,17.48584425,41.37,8.6,2.3,potable
4.68,7.2,33,6.7,2.47977325,291.66,0.96,0.600537095,7.9,22.88,18.20833967,25.77,10,3,potable
0.17,6,27,7.06,1.177920859,978.89,3.77,0.618956823,40.69,0.99,16.82661946,44.66,4.76,0.38,potable
1.02,5.2,32,8.49,2.060317419,1012.18,8.82,0.620891217,38.92,49.67,13.4452252,95.7,12.66,4.33,potable
3.83,4.8,33,8.14,2.109607017,1044.64,11.24,0.660048682,14.55,15.22,17.14990713,57.58,11.02,3.51,potable
1.67,3.9,19,6.91,1.307671488,618.88,9.29,0.684397768,22.94,24.26,16.13112429,228.29,12.3,4.15,potable
3.97,5,30,6.95,2.198211253,1065.03,3.56,0.60314289,9.43,2.82,13.3659062,35.6,9.64,2.82,potable
2.36,7,34,8.36,2.929187141,1349.2,7.64,0.628832061,40.63,16.34,14.66691724,89.37,7.42,1.71,potable
4.89,6.3,33,7.89,2.531629089,724.6,0.13,0.629240731,3.31,44.09,18.40384583,118.44,10.18,3.09,potable
2.22,6.2,35,8.17,0.211117083,306.1,8.72,0.630882934,9.6,20.33,18.60138073,43.54,9.84,2.92,potable
2.24,5.7,34,7.18,2.416491486,1322.37,10.96,0.647208376,21.71,29.18,9.5785846,78.53,4.3,0.15,potable
3.01,5.7,27,7.65,0.488619401,952.73,5.92,0.650278199,15.01,18.43,16.23774577,134.34,12.58,4.29,potable
2.3,6.6,30.1,8.19,0.715244684,1273.64,3.33,0.851440234,20.84,19.27,16.26629669,233.33,9.64,2.82,potable
0.26,6.6,26,6.54,2.454317207,788.26,11.64,0.66210235,3.67,12.23,6.580401551,133.74,6.26,1.13,potable
2.03,6.5,27,6.61,2.087153265,1341.14,9.74,0.661286805,8.54,4.95,13.22103363,160.11,6.96,1.48,potable
4.63,6.7,35,7.32,1.435505638,248.48,4.16,0.698947011,43.45,30.05,11.54266178,194.56,9.5,2.75,potable
3.68,4.3,30.6,8.36,1.111560108,1320.27,8.52,0.610173486,4.18,35.35,15.03504691,49.23,4.6,0.3,potable
2.54,4.6,29.8,7.64,0.217867484,1177.33,14.8,0.660704046,43.45,2.7,16.53518593,52.22,6.62,1.31,potable
0.88,7.7,29.5,8.39,1.002298824,750.16,4.73,0.811537262,3.3,27.59,15.26474235,194.69,4.92,0.46,potable
1.71,5.8,29.7,7.23,1.376612311,417.9,8.69,0.664709019,25.41,42.2,18.31249854,77.11,11.02,3.51,potable
4.46,4.5,29.5,7.41,0.969068118,1230.21,5.19,0.623908556,34.55,40.91,18.38071193,81.08,13.5,4.75,potable
1.28,6.9,30,6.71,0.216523043,111.4,12.34,0.62940128,5.97,18.81,11.7283382,89.66,6.56,1.28,potable
0.04,6.6,29.2,7.7,1.748233376,621.02,6.89,0.682349336,44.42,25.47,20.09841289,191.35,13.2,4.6,potable
4.75,6.9,29.6,8.47,1.133437485,1159.7,8.1,0.67891528,38.32,2.54,19.37009087,184.64,5.38,0.69,potable
2.71,5.5,30,7.18,0.213707815,1379.58,4.29,0.621064198,38.59,15.43,12.30901596,144.82,4.78,0.39,potable
2.13,5.4,30.1,8.44,1.209422992,958.72,3.88,0.670884469,18.97,41.41,15.93626168,154.38,10.88,3.44,potable
1.07,7.1,27.8,7.7,0.94104812,1265.17,7.32,0.665580427,6.76,27.15,14.13906591,138.78,9.7,2.85,potable
1.18,6.9,27.9,8.31,2.820431725,1283.3,6.75,0.637423629,20.17,33.73,16.142284,27.18,5.64,0.82,potable
0.85,7.3,29.3,6.76,1.580895504,1272.77,6.74,0.672886388,3.25,11.03,20.18405147,140.55,10.3,3.15,potable
4.36,7.5,29.2,8.24,0.239805028,1323.29,3.92,0.666708872,13.72,0.73,11.3188066,232.42,6.88,1.44,potable
3.1,6.4,30,8.03,0.146085829,46.04,7.64,0.7063916,18.65,31.71,12.60638165,238.62,8.44,2.22,potable
2.12,6.5,29,7.6,0.294837879,920.78,6.74,0.67634834,27.86,45.38,15.99341035,210,13.18,4.59,potable
3.45,7.7,29.1,6.91,1.993647128,717.84,6.22,0.614676255,21.75,27.32,18.03523754,124.16,10.3,3.15,potable
0.98,7.5,28.7,7.32,1.673822524,1486.71,14.19,0.602662125,8.61,22.47,14.68753934,72.28,9.84,2.92,potable
3.35,7.3,28.7,7.88,1.825846132,829.13,12.08,0.612676521,22.21,49.55,17.32294643,80.67,12.24,4.12,potable
2.08,7.4,29.5,7.65,0.458039429,1135.61,8.79,0.617911028,32.87,3.22,15.04708691,103.21,10.04,3.02,potable
3.03,7.4,29,7.78,2.466841322,8.7,14.66,0.617983616,17.36,18.5,16.67018392,94.36,13.8,4.9,potable
4.95,7.5,29.4,6.86,2.336752879,259.79,11.04,0.667969787,19.16,33.93,15.14034849,234.01,9.12,2.56,potable
2,7.2,28.3,8.16,2.805476721,446.88,6.54,0.620141371,29.56,30.46,10.53939227,229.84,9.24,2.62,potable
4.21,6.6,30.1,8.11,2.818538287,1429.21,4.94,0.614667959,5.23,4.19,11.704789,18.53,4.2,0.1,potable
4.5,7.5,30.3,7.12,1.052679851,258.55,7.61,0.697589277,16.6,42.24,9.847655276,135.57,10.36,3.18,potable
1.58,7.4,30.5,6.97,2.536009739,479.44,13.97,0.632064472,7.45,41.79,12.40136807,143.91,8.58,2.29,potable
2.77,5.9,30.1,8.25,0.29723779,9.9,8.56,0.623629532,31.34,27.78,9.614106025,96.86,8.62,2.31,potable
0.46,6.5,29.2,8.17,0.012328365,1467.65,12.83,0.708428891,3.92,3.35,14.90308047,167.9,11.02,3.51,potable
4.17,6.5,25.1,6.85,0.175275093,1130.12,12.59,0.737583975,37.28,21.21,11.87679667,205.66,8.06,2.03,potable
4,6,29.6,7.78,1.672577828,1132.66,9.47,0.751256919,32.98,6.01,13.80171218,219.63,7.44,1.72,potable
3.31,6.5,27.4,7.3,0.553158356,880.69,6.47,0.624440481,44.77,23.24,14.39986002,144.32,8.7,2.35,potable
2.09,6.8,27.8,8.43,1.190687236,668.98,14.47,0.618768983,35.28,22.59,16.62465362,88.43,10.44,3.22,potable
1.26,6.6,30.6,8.06,1.715583877,56.49,11.7,0.694893695,24.67,31.46,10.85928728,237.27,5.34,0.67,potable
1.86,6.6,25,7.53,1.702293479,837.35,9.83,0.652418809,7.39,43.68,14.27409228,187.55,4.58,0.29,potable
1.22,6.7,25,7.27,1.939970628,30.83,10.42,0.738105497,25.7,11.46,16.43584291,106.75,11.76,3.88,potable
2.1,6.7,25,8.22,0.574818669,18.6,4.62,0.600020242,18.33,36.69,14.07922835,1.44,4.54,0.27,potable
0.87,6.7,25.3,7.4,2.967204598,478.2,10.67,0.66091132,31.25,16.11,16.7616247,52.49,13.68,4.84,potable
0.42,6.6,25.1,7.98,0.574650255,993.62,11.98,0.667693604,41.22,6.98,13.51607813,112.2,6.22,1.11,potable
1,6.7,26.1,7.07,1.016586159,69.26,13.47,0.772734419,8.41,41.77,17.66508338,217.95,9.58,2.79,potable
4.78,6.6,21.4,7.02,0.513300524,981.97,4.78,0.625711277,38.84,14.51,12.33777643,30.57,12.46,4.23,potable
1.88,6.8,27.4,7.93,1.206768011,1281.3,12.87,0.653074811,16.5,38.5,11.94347658,182.39,4.68,0.34,potable
0.36,6.5,27.1,8.25,2.054253852,1424.31,9.56,0.619645172,29.72,49.25,16.06566794,39.38,9.12,2.56,potable
0.9,6.6,27.2,6.9,2.628768248,702,7.33,0.626619492,5.64,17.76,9.745282009,56.39,13.8,4.9,potable
4.74,0.9,27.3,7.04,2.619767787,567.66,12.19,0.681384423,44.26,12.72,14.44223828,213.76,9.82,2.91,potable
4.28,5.8,27.2,6.92,2.27511615,1155.29,12.25,0.615441464,33.21,7.6,15.52665845,26.98,6.52,1.26,potable
4.67,4.8,27,6.73,0.110862951,807.12,2.61,0.604601437,33.54,13.98,17.29929446,17.16,10.16,3.08,potable
0.43,5.5,22.6,7.04,1.003379812,1123.53,13.35,0.625585838,41.8,12.41,13.4863791,156.71,10.18,3.09,potable
3.44,5.1,28.4,6.89,0.844254279,814.28,4.97,0.614884659,27.09,8.37,12.80458815,28.1,4.22,0.11,potable
3.2,5.5,28,8.45,0.172073934,547.25,10.4,0.701333576,6.97,24.48,11.482687,210.46,13.12,4.56,potable
3.39,5,27.6,8.25,0.096874562,1228.71,5.68,0.692730118,7.03,29.43,9.300117278,199.74,9.26,2.63,potable
2.51,4.9,27.9,7.11,1.19991039,1026.58,13.59,0.608476934,39.44,27.71,15.05431287,11.95,4.1,0.05,potable
4.55,5,28.1,7.05,0.00403306,273.25,1.02,0.647820595,14.37,39.69,12.32123216,136.22,10.16,3.08,potable
2.75,5.3,27.1,7.03,2.792181255,1393,3.06,0.624633863,40.71,39.7,12.29380305,242.64,12.02,4.01,potable
1.27,4.9,27.6,6.52,2.301895659,1078.7,2.05,0.650556253,4.24,24.13,18.54590296,71.4,5.4,0.7,potable
0.22,4.1,27.3,7.36,1.136343352,417.34,6.6,0.676016485,27.54,13.61,12.03404227,76.63,6.7,1.35,potable
2.14,4.8,27.8,7.23,2.055009681,738.08,5.65,0.636995925,39.75,32.68,15.62561667,194.95,10.74,3.37,potable
1.46,4,28.6,7.63,1.71001697,423.12,0.12,0.731384671,36.26,42.57,13.79526446,163.45,7.56,1.78,potable
4.68,7.8,26.9,6.9,0.929478737,133.73,0.12,0.603188273,13.25,18.25,19.40914656,126.31,5.58,0.79,potable
1.26,7.7,23,7.56,0.009107545,417.14,4.38,0.766126504,43.46,20.68,9.039042454,202.54,6.4,1.2,potable
0.3,7.6,23,7.05,2.548471414,748.97,3.82,0.631835452,8.38,1.81,16.57598077,116.94,9.32,2.66,potable
1.52,4.4,25.1,7.06,2.499496226,168.84,3.96,0.749546833,4.77,18.04,13.0768589,217.43,6.68,1.34,potable
1.05,5.9,24.6,8.18,2.040729105,748.33,10.97,0.637210401,43.67,7.47,20.39378167,135.97,13.54,4.77,potable
0.43,6,25.7,7.97,1.900877991,411.42,14.1,0.683703162,6.3,45.72,17.74599613,86.32,9.6,2.8,potable
4.8,5.6,24.8,8.14,1.770623776,335.74,10.83,0.727020754,20.36,22.82,19.18844138,202.34,13.62,4.81,potable
1.63,6.2,27.3,7.68,1.227953975,428.56,0.21,0.607592169,37.11,40.58,13.28155615,23.25,10.76,3.38,potable
0.69,7.2,27.5,6.5,2.193039981,146.95,2.45,0.788183095,28.73,18.38,13.97480047,184.99,5.36,0.68,potable
3.18,7.2,25.2,8.31,0.18825218,204.95,13.27,0.819809966,31.91,47.93,18.57592068,239.54,10.06,3.03,potable
2.72,7.5,29.9,6.75,2.789071943,1447.61,2.51,0.652645834,6.15,20.52,13.32598708,58.71,12.26,4.13,potable
1.45,7.5,29.8,7.44,0.392317565,857.08,6.91,0.709436881,32.86,29.35,8.816486899,136.3,7.78,1.89,potable
2.38,5.3,27.8,7.76,2.826275934,462.33,13.92,0.606053577,3.36,42.18,12.98710649,100.96,8.28,2.14,potable
4.33,7.2,26.7,7.16,0.460720391,187.7,1.97,0.636875081,39.76,16.02,13.24613956,217.01,4.12,0.06,potable
4.95,7.5,25.8,7.13,2.832509737,130.37,3.42,0.680841906,42.19,20.39,11.76830935,114.12,9.44,2.72,potable
4.05,7.8,26.4,7,0.224075951,1283.46,8.36,0.696251515,31.48,6.35,15.36588356,194.61,11.7,3.85,potable
4.08,6.7,29.8,6.58,1.582432619,384.62,9,0.629705244,11.71,4.37,16.42004096,59.34,12.22,4.11,potable
2.99,7.3,28.6,7.97,1.555922827,917.59,8.47,0.666103037,44.03,22.14,13.74926131,193.76,10.08,3.04,potable
2.2,7.4,26.9,7.78,2.868288625,1489.36,2.03,0.600045692,40.01,37.82,18.85851888,96.34,6.08,1.04,potable
1.31,7.2,26,6.85,1.716251447,733.46,13.97,0.621765688,33.67,33.37,12.6965448,66.49,9.02,2.51,potable
0.17,7.3,23.6,7.46,2.789232127,647.54,6.2,0.659604319,11.12,47.65,14.83810023,84.05,10.38,3.19,potable
3.55,7.3,30.3,8.03,0.261422201,1231.42,12.18,0.60165983,22.11,9.13,9.500295529,159.9,9.76,2.88,potable
4.89,6.6,30.7,7.97,0.650160838,1488.92,7.41,0.636459089,25.6,28.74,15.01303033,163.53,7.98,1.99,potable
2.39,7.3,28.7,7.17,0.859929863,665.4,10.54,0.60586223,31.62,14.55,10.7401459,71.28,10.76,3.38,potable
4.74,5.1,28.2,7.65,1.848311536,123.47,1.84,0.649163888,3.86,18.01,13.30669203,181.42,9.54,2.77,potable
0.23,7.3,24.8,7.93,2.084203955,1225.73,5.54,0.650946499,28.62,20.81,12.20710849,231.14,6.2,1.1,potable
2.42,7.7,26.3,6.63,2.054185599,872.88,11.71,0.65083712,29.7,43.66,12.99301224,150.9,4.04,0.02,potable
4.8,7.6,29.2,7.82,1.484130208,552.52,5.12,0.669341473,35.32,24.42,17.91652637,135.32,13.76,4.88,potable
